iter	Passed	Remaining
171	1670	8041
172	1678	8022
173	1687	8010
174	1694	7987
175	1698	7952
176	1706	7933
177	1714	7917
178	1722	7899
179	1730	7884
180	1739	7871
181	1744	7839
182	1749	7808
183	1756	7790
184	1770	7799
185	1779	7789
186	1788	7775
187	1798	7768
188	1805	7749
189	1817	7748
190	1825	7730
191	1832	7711
192	1841	7699
193	1848	7680
194	1858	7673
195	1867	7659
196	1878	7656
197	1883	7628
198	1889	7603
199	1894	7576
200	1899	7549
201	1904	7521
202	1910	7502
203	1916	7476
204	1924	7464
205	1936	7463
206	1944	7451
207	1953	7437
208	1962	7426
209	1967	7401
210	1972	7375
211	1976	7347
212	1982	7324
213	1988	7302
214	1994	7281
215	2002	7268
216	2018	7282
217	2025	7266
218	2034	7254
219	2040	7235
220	2048	7220
221	2056	7206
222	2067	7204
223	2085	7225
224	2093	7212
225	2108	7220
226	2121	7222
227	2130	7213
228	2141	7208
229	2150	7198
230	2161	7194
231	2171	7189
232	2183	7186
233	2194	7182
234	2201	7166
235	2212	7161
236	2231	7185
237	2240	7174
238	2246	7153
239	2251	7128
240	2255	7103
241	2260	7079
242	2266	7059
243	2270	7036
244	2276	7014
245	2280	6991
246	2287	6973
247	2299	6973
248	2335	7042
249	2351	7054
250	2360	7044
251	2371	7039
252	2379	7027
253	2388	7016
254	2397	7003
255	2409	7002
256	2425	7012
257	2438	7014
258	2448	7004
259	2456	6991
260	2465	6979
261	2474	6969
262	2482	6956
263	2494	6955
264	2511	6964
265	2519	6952
266	2530	6946
267	2539	6935
268	2550	6931
269	2559	6920
270	2570	6914
271	2579	6905
272	2588	6894
273	2600	6889
274	2608	6876
275	2616	6863
276	2627	6857
277	2634	6841
278	2639	6822
279	2649	6813
280	2660	6807
281	2668	6795
282	2681	6792
283	2688	6777
284	2698	6768
285	2708	6760
286	2720	6759
287	2734	6759
288	2740	6742
289	2746	6723
290	2755	6712
291	2760	6693
292	2770	6685
293	2786	6690
294	2795	6681
295	2804	6670
296	2812	6657
297	2824	6653
298	2840	6658
299	2848	6647
300	2859	6639
301	2873	6642
302	2882	6631
303	2892	6623
304	2904	6619
305	2922	6628
306	2930	6614
307	2942	6611
308	2952	6603
309	2961	6592
310	2969	6578
311	2973	6557
312	2979	6540
313	2984	6519
314	2990	6502
315	2999	6492
316	3005	6474
317	3010	6456
318	3016	6439
319	3022	6422
320	3033	6417
321	3058	6439
322	3072	6440
323	3080	6426
324	3095	6428
325	3111	6431
326	3116	6414
327	3125	6402
328	3144	6412
329	3149	6394
330	3154	6375
331	3170	6378
332	3183	6376
333	3197	6375
334	3206	6365
335	3221	6367
336	3237	6370
337	3253	6371
338	3258	6354
339	3263	6334
340	3267	6314
341	3272	6295
342	3277	6277
343	3282	6258
344	3288	6242
345	3297	6232
346	3301	6213
347	3307	6197
348	3313	6180
349	3319	6163
350	3323	6144
351	3327	6126
352	3333	6109
353	3338	6091
354	3343	6075
355	3350	6061
356	3355	6043
357	3359	6024
358	3365	6008
359	3372	5995
360	3383	5988
361	3387	5969
362	3391	5952
363	3396	5934
364	3401	5917
365	3406	5900
366	3411	5883
367	3416	5867
368	3421	5850
369	3425	5833
370	3431	5817
371	3435	5800
372	3447	5795
373	3458	5788
374	3464	5774
375	3471	5760
376	3479	5749
377	3484	5733
378	3488	5716
379	3494	5701
380	3502	5690
381	3515	5687
382	3522	5675
383	3528	5660
384	3535	5647
385	3540	5631
386	3545	5616
387	3551	5602
388	3557	5587
389	3562	5571
390	3567	5557
391	3573	5542
392	3578	5527
393	3583	5512
394	3588	5496
395	3592	5479
396	3597	5464
397	3601	5447
398	3613	5443
399	3619	5429
400	3628	5419
401	3636	5408
402	3645	5399
403	3653	5390
404	3662	5380
405	3672	5373
406	3684	5368
407	3693	5359
408	3703	5351
409	3713	5343
410	3725	5339
411	3735	5331
412	3747	5326
413	3763	5326
414	3772	5317
415	3785	5313
416	3801	5314
417	3812	5308
418	3828	5308
419	3837	5299
420	3850	5295
421	3859	5286
422	3871	5281
423	3880	5271
424	3885	5257
425	3895	5248
426	3902	5237
427	3909	5224
428	3915	5211
429	3925	5203
430	3935	5195
431	3943	5185
432	3950	5173
433	3960	5164
434	3982	5172
435	3990	5162
436	4001	5155
437	4011	5147
438	4019	5135
439	4028	5127
440	4037	5117
441	4052	5115
442	4062	5108
443	4070	5097
444	4081	5089
445	4089	5080
446	4097	5069
447	4107	5061
448	4115	5050
449	4125	5041
450	4130	5027
451	4134	5012
452	4139	4998
453	4143	4983
454	4148	4968
455	4158	4960
456	4165	4949
457	4175	4941
458	4182	4929
459	4188	4917
460	4199	4909
461	4206	4898
462	4213	4886
463	4220	4875
464	4228	4864
465	4235	4853
466	4252	4853
467	4268	4851
468	4278	4844
469	4289	4837
470	4301	4831
471	4315	4827
472	4330	4824
473	4345	4822
474	4354	4813
475	4363	4803
476	4376	4798
477	4386	4790
478	4396	4782
479	4407	4774
480	4414	4763
481	4440	4771
482	4456	4770
483	4461	4755
484	4466	4742
485	4471	4728
486	4475	4714
487	4481	4702
488	4487	4689
489	4493	4677
490	4503	4668
491	4514	4661
492	4528	4656
493	4540	4650
494	4548	4640
495	4562	4636
496	4574	4629
497	4587	4624
498	4601	4620
499	4613	4613
500	4622	4604
501	4630	4593
502	4637	4581
503	4647	4573
504	4654	4562
505	4659	4548
506	4664	4535
507	4669	4522
508	4674	4508
509	4679	4495
510	4684	4482
511	4690	4470
512	4695	4457
513	4701	4444
514	4705	4431
515	4712	4420
516	4719	4409
517	4724	4396
518	4729	4383
519	4736	4372
520	4744	4362
521	4750	4349
522	4757	4338
523	4768	4331
524	4776	4322
525	4785	4312
526	4792	4301
527	4797	4289
528	4803	4276
529	4811	4266
530	4817	4254
531	4822	4242
532	4827	4229
533	4832	4216
534	4836	4203
535	4841	4191
536	4847	4179
537	4855	4169
538	4861	4157
539	4869	4148
540	4891	4150
541	4899	4139
542	4914	4136
543	4924	4127
544	4936	4121
545	4949	4115
546	4958	4106
547	4981	4108
548	4997	4105
549	5004	4094
550	5030	4099
551	5037	4088
552	5044	4077
553	5048	4064
554	5054	4052
555	5059	4040
556	5065	4029
557	5070	4016
558	5075	4004
559	5080	3992
560	5086	3980
561	5094	3970
562	5104	3962
563	5115	3954
564	5122	3943
565	5127	3931
566	5131	3918
567	5135	3905
568	5139	3893
569	5143	3880
570	5148	3868
571	5153	3855
572	5157	3843
573	5162	3831
574	5167	3819
575	5172	3807
576	5179	3797
577	5191	3790
578	5195	3777
579	5199	3765
580	5203	3752
581	5208	3741
582	5213	3729
583	5218	3717
584	5223	3705
585	5228	3693
586	5233	3682
587	5240	3671
588	5244	3659
589	5248	3647
590	5257	3638
591	5263	3627
592	5268	3616
593	5272	3603
594	5280	3594
595	5288	3584
596	5295	3574
597	5302	3564
598	5310	3554
599	5320	3547
600	5329	3538
601	5334	3526
602	5345	3519
603	5354	3510
604	5363	3501
605	5376	3495
606	5385	3486
607	5394	3478
608	5406	3471
609	5415	3462
610	5423	3453
611	5431	3443
612	5439	3433
613	5447	3424
614	5455	3415
615	5462	3405
616	5471	3396
617	5481	3388
618	5498	3384
619	5505	3374
620	5514	3365
621	5523	3356
622	5530	3346
623	5540	3338
624	5550	3330
625	5557	3320
626	5566	3311
627	5574	3302
628	5583	3293
629	5590	3283
630	5603	3276
631	5615	3270
632	5623	3260
633	5630	3250
634	5637	3240
635	5641	3228
636	5645	3217
637	5649	3205
638	5654	3194
639	5665	3187
640	5673	3177
641	5679	3167
642	5686	3157
643	5695	3148
644	5706	3140
645	5712	3130
646	5720	3121
647	5729	3112
648	5738	3103
649	5749	3096
650	5758	3087
651	5767	3078
652	5777	3070
653	5784	3060
654	5792	3051
655	5805	3044
656	5829	3043
657	5837	3033
658	5843	3023
659	5856	3016
660	5863	3007
661	5870	2997
662	5882	2990
663	5886	2978
664	5892	2968
665	5897	2957
666	5901	2946
667	5905	2935
668	5913	2925
669	5921	2916
670	5929	2907
671	5936	2897
672	5944	2888
673	5955	2880
674	5965	2872
675	5977	2865
676	5991	2858
677	6003	2851
678	6011	2842
679	6018	2832
680	6027	2823
681	6036	2814
682	6044	2805
683	6052	2796
684	6057	2785
685	6065	2776
686	6073	2767
687	6079	2757
688	6098	2752
689	6108	2744
690	6119	2736
691	6135	2730
692	6144	2721
693	6149	2711
694	6154	2700
695	6160	2690
696	6168	2681
697	6179	2673
698	6194	2667
699	6201	2657
700	6206	2647
701	6213	2637
702	6229	2632
703	6238	2622
704	6246	2613
705	6254	2604
706	6262	2595
707	6269	2585
708	6278	2576
709	6296	2571
710	6304	2562
711	6316	2554
712	6324	2545
713	6346	2542
714	6357	2533
715	6361	2523
716	6366	2512
717	6372	2502
718	6390	2497
719	6395	2487
720	6403	2477
721	6408	2467
722	6414	2457
723	6418	2446
724	6426	2437
725	6443	2431
726	6450	2422
727	6457	2412
728	6461	2401
729	6465	2391
730	6470	2380
731	6482	2373
732	6489	2363
733	6497	2354
734	6507	2346
735	6517	2337
736	6525	2328
737	6533	2319
738	6537	2309
739	6541	2298
740	6546	2288
741	6553	2278
742	6565	2270
743	6574	2262
744	6581	2252
745	6588	2243
746	6595	2233
747	6600	2223
748	6606	2214
749	6613	2204
750	6620	2195
751	6625	2185
752	6630	2174
753	6634	2164
754	6639	2154
755	6643	2144
756	6649	2134
757	6653	2124
758	6658	2114
759	6663	2104
760	6669	2094
761	6674	2084
762	6678	2074
763	6686	2065
764	6694	2056
765	6702	2047
766	6706	2037
767	6712	2027
768	6716	2017
769	6722	2008
770	6727	1998
771	6733	1988
772	6737	1978
773	6742	1968
774	6745	1958
775	6750	1948
776	6755	1938
777	6759	1928
778	6763	1918
779	6766	1908
780	6771	1898
781	6776	1889
782	6800	1884
783	6814	1877
784	6818	1867
785	6823	1857
786	6828	1848
787	6834	1838
788	6839	1829
789	6847	1820
790	6852	1810
791	6859	1801
792	6864	1791
793	6869	1782
794	6874	1772
795	6879	1763
796	6886	1753
797	6904	1747
798	6917	1740
799	6928	1732
800	6939	1724
801	6949	1715
802	6956	1706
803	6965	1697
804	6973	1689
805	6986	1681
806	7000	1674
807	7014	1666
808	7033	1660
809	7042	1651
810	7052	1643
811	7065	1635
812	7080	1628
813	7090	1620
814	7099	1611
815	7111	1603
816	7124	1595
817	7136	1587
818	7146	1579
819	7158	1571
820	7173	1564
821	7195	1558
822	7252	1559
823	7278	1554
824	7290	1546
825	7315	1541
826	7340	1535
827	7365	1530
828	7376	1521
829	7382	1512
830	7388	1502
831	7393	1492
832	7397	1483
833	7402	1473
834	7410	1464
835	7415	1454
836	7420	1445
837	7431	1436
838	7445	1428
839	7454	1419
840	7471	1412
841	7476	1402
842	7487	1394
843	7503	1386
844	7515	1378
845	7521	1369
846	7529	1360
847	7537	1351
848	7554	1343
849	7564	1334
850	7579	1327
851	7591	1318
852	7600	1309
853	7609	1300
854	7621	1292
855	7630	1283
856	7639	1274
857	7647	1265
858	7658	1257
859	7667	1248
860	7681	1240
861	7690	1231
862	7698	1222
863	7705	1212
864	7709	1203
865	7714	1193
866	7719	1184
867	7724	1174
868	7730	1165
869	7736	1156
870	7743	1146
871	7749	1137
872	7755	1128
873	7759	1118
874	7766	1109
875	7771	1100
876	7778	1091
877	7785	1081
878	7793	1072
879	7800	1063
880	7806	1054
881	7824	1046
882	7846	1039
883	7856	1030
884	7862	1021
885	7866	1012
886	7882	1004
887	7905	997
888	7917	988
889	7929	980
890	7935	970
891	7941	961
892	7949	952
893	7964	944
894	7974	935
895	7980	926
896	8010	919
897	8029	911
898	8042	903
899	8064	896
900	8070	886
901	8077	877
902	8091	869
903	8096	859
904	8109	851
905	8117	842
906	8124	833
907	8130	823
908	8137	814
909	8146	805
910	8158	797
911	8165	787
912	8175	779
913	8185	770
914	8197	761
915	8205	752
916	8215	743
917	8239	735
918	8248	727
919	8256	717
920	8263	708
921	8270	699
922	8279	690
923	8287	681
924	8295	672
925	8316	664
926	8324	655
927	8332	646
928	8339	637
929	8343	627
930	8347	618
931	8351	609
932	8361	600
933	8370	591
934	8379	582
935	8388	573
936	8394	564
937	8404	555
938	8409	546
939	8429	538
940	8434	528
941	8445	519
942	8455	511
943	8466	502
944	8474	493
945	8480	484
946	8487	475
947	8493	465
948	8498	456
949	8505	447
950	8515	438
951	8528	429
952	8535	420
953	8548	412
954	8554	403
955	8562	394
956	8569	385
957	8573	375
958	8579	366
959	8583	357
960	8591	348
961	8599	339
962	8612	330
963	8621	321
964	8630	313
965	8639	304
966	8648	295
967	8658	286
968	8676	277
969	8684	268
970	8694	259
971	8707	250
972	8715	241
973	8726	232
974	8742	224
975	8753	215
976	8762	206
977	8771	197
978	8775	188
979	8797	179
980	8806	170
981	8814	161
982	8821	152
983	8832	143
984	8841	134
985	8849	125
986	8855	116
987	8863	107
988	8868	98
989	8876	89
990	8883	80
991	8889	71
992	8894	62
993	8903	53
994	8910	44
995	8917	35
996	8925	26
997	8935	17
998	8956	8
999	8971	0
